Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-16.947735	0.125823	1.080934	0.003674	0.452209
-16.895169	0.164743	1.090931	0.003664	0.452408
-16.764143	0.141144	1.100928	0.003639	0.452514
-16.573535	0.114144	1.110925	0.003604	0.452691
-16.195512	-0.101917	1.120922	0.003533	0.452516
-16.528141	0.036413	1.130918	0.003595	0.452506
-16.031826	-0.223017	1.140915	0.003502	0.452354
-16.357904	-0.131566	1.150912	0.003563	0.452201
-16.586377	0.018769	1.160909	0.003605	0.452373
-16.391651	-0.022413	1.170906	0.003569	0.452510
-16.451694	0.006286	1.180902	0.003580	0.452521
-16.727607	0.222875	1.190899	0.003631	0.452842
-16.066186	0.029867	1.200896	0.003507	0.453131
-16.094624	0.041293	1.210893	0.003513	0.453131
-15.934762	-0.027658	1.220890	0.003483	0.453130
-16.083749	0.034533	1.230886	0.003510	0.453127
-15.780450	-0.094569	1.240883	0.003454	0.453130
-15.949790	-0.022306	1.250880	0.003485	0.453131
-15.646065	-0.153202	1.260877	0.003428	0.453128
-15.950757	-0.033074	1.270874	0.003485	0.453098
-15.862023	-0.061700	1.280870	0.003468	0.453129
-15.942119	0.037807	1.290867	0.003483	0.453341
-15.819908	0.066748	1.300864	0.003460	0.453604
-15.954692	0.170137	1.310861	0.003485	0.453753
-15.533536	0.078571	1.320858	0.003406	0.454038
-15.415841	0.009521	1.330854	0.003384	0.453979
-15.375288	-0.039416	1.340851	0.003376	0.453879
-15.386694	-0.073077	1.350848	0.003378	0.453757
-15.295930	-0.061134	1.360845	0.003361	0.453921
-15.345868	-0.006952	1.370842	0.003370	0.454028
-15.539293	0.087559	1.380838	0.003406	0.454068
-15.492931	0.150699	1.390835	0.003397	0.454336
-15.399313	0.181999	1.400832	0.003379	0.454567
-15.290355	0.207650	1.410829	0.003359	0.454800
-14.889549	0.038547	1.420826	0.003284	0.454808
-14.882083	-0.002801	1.430822	0.003283	0.454687
-14.825026	-0.028385	1.440819	0.003272	0.454685
-14.708618	-0.110408	1.450816	0.003250	0.454582
-15.127445	0.098638	1.460813	0.003328	0.454681
-14.912246	0.050322	1.470810	0.003288	0.454822
-14.824682	0.064422	1.480806	0.003271	0.454989
-14.965118	0.156926	1.490803	0.003297	0.455095
-14.551498	0.044683	1.500800	0.003220	0.455303
-14.858303	0.174758	1.510797	0.003277	0.455302
-14.556989	0.051580	1.520794	0.003220	0.455321
-14.553926	0.099751	1.530790	0.003220	0.455481
-14.216537	-0.028533	1.540787	0.003157	0.455533
-14.446628	-0.004857	1.550784	0.003199	0.455295
-14.282187	-0.063521	1.560781	0.003169	0.455334
-14.287612	-0.027282	1.570778	0.003169	0.455444
-14.237069	-0.033161	1.580774	0.003160	0.455496
-14.484097	0.103592	1.590771	0.003206	0.455597
-14.435433	0.169679	1.600768	0.003196	0.455877
-14.285196	0.149978	1.610765	0.003168	0.456021
-14.081416	0.130382	1.620762	0.003130	0.456239
-14.035240	0.110712	1.630758	0.003121	0.456240
-13.936819	0.069514	1.640755	0.003103	0.456244
-13.991519	0.091809	1.650752	0.003113	0.456242
-13.731589	-0.018686	1.660749	0.003064	0.456245
-13.968099	0.131328	1.670746	0.003108	0.456404
-13.658424	0.045955	1.680742	0.003050	0.456555
-13.651268	-0.001389	1.690739	0.003049	0.456415
-13.646664	0.039040	1.700736	0.003048	0.456552
-13.612693	0.023788	1.710733	0.003041	0.456551
-13.676265	0.051655	1.720730	0.003053	0.456555
-13.705318	0.137880	1.730726	0.003058	0.456792
-13.215277	-0.051028	1.740723	0.002967	0.456859
-13.641855	0.120495	1.750720	0.003046	0.456826
-13.444081	0.096740	1.760717	0.003009	0.457022
-13.190507	-0.014437	1.770714	0.002961	0.457014
-13.283594	0.046146	1.780710	0.002979	0.457082
-13.315510	0.089611	1.790707	0.002984	0.457179
-12.951064	-0.066611	1.800704	0.002916	0.457178
-13.317059	0.088683	1.810701	0.002984	0.457177
-13.072944	-0.015299	1.820698	0.002939	0.457179
-13.109758	0.068347	1.830694	0.002945	0.457397
-13.291245	0.211795	1.840691	0.002979	0.457609
-12.820709	0.068442	1.850688	0.002891	0.457794
-12.744850	0.006259	1.860685	0.002877	0.457701
-12.974627	0.121323	1.870682	0.002919	0.457756
-12.691364	0.012491	1.880678	0.002866	0.457797
-12.700055	0.015640	1.890675	0.002868	0.457796
-12.787449	0.052482	1.900672	0.002884	0.457796
-12.457960	-0.008136	1.910669	0.002823	0.458053
-12.582730	-0.020347	1.920666	0.002846	0.457846
-12.648905	0.085238	1.930662	0.002858	0.458094
-12.592954	0.064950	1.940659	0.002847	0.458107
-12.611902	0.160431	1.950656	0.002850	0.458387
-12.496381	0.130419	1.960653	0.002829	0.458450
-12.213435	0.075571	1.970650	0.002776	0.458661
-12.099479	-0.044758	1.980646	0.002754	0.458434
-12.021281	-0.078908	1.990643	0.002740	0.458433
-11.811154	-0.223315	2.000640	0.002701	0.458260
-12.234216	-0.057288	2.010637	0.002779	0.458215
-12.350953	0.061524	2.020634	0.002800	0.458437
-12.282565	0.117212	2.030630	0.002788	0.458708
-12.141475	0.114885	2.040627	0.002761	0.458894
-12.178769	0.215047	2.050624	0.002768	0.459164
-11.676924	0.020074	2.060621	0.002674	0.459227
-11.864039	0.048216	2.070618	0.002709	0.459063
-11.449590	-0.128382	2.080614	0.002632	0.459066
-11.483282	-0.123068	2.090611	0.002638	0.459039
-11.479289	-0.182106	2.100608	0.002637	0.458858
-11.919511	0.038586	2.110605	0.002718	0.458963
-11.548766	-0.096267	2.120602	0.002649	0.459039
-11.704563	0.026513	2.130598	0.002678	0.459220
-11.372487	-0.079134	2.140595	0.002616	0.459336
-11.241523	-0.135827	2.150592	0.002592	0.459335
-11.462683	-0.041992	2.160589	0.002633	0.459335
-11.517912	0.025171	2.170586	0.002643	0.459475
-11.271614	-0.023626	2.180582	0.002597	0.459655
-11.530555	0.113456	2.190579	0.002645	0.459741
-10.968330	-0.086852	2.200576	0.002540	0.459869
-11.236334	0.027648	2.210573	0.002589	0.459870
-10.959095	-0.063094	2.220570	0.002538	0.459959
-11.135530	0.010584	2.230566	0.002570	0.459956
-11.041774	-0.029027	2.240563	0.002553	0.459958
-11.047390	0.054175	2.250560	0.002554	0.460216
-10.480640	-0.207538	2.260557	0.002448	0.460155
-10.811983	-0.128773	2.270554	0.002509	0.459957
-10.778705	-0.075288	2.280550	0.002503	0.460174
-10.584814	-0.142402	2.290547	0.002467	0.460225
-10.761357	-0.080226	2.300544	0.002499	0.460185
-11.078480	0.123093	2.310541	0.002558	0.460402
-10.576585	-0.035364	2.320538	0.002465	0.460580
-10.719698	0.081942	2.330534	0.002491	0.460760
-10.632694	0.114752	2.340531	0.002475	0.460983
